pc_id,x_px,y_px,zone
WC1A-001,116.4,1233.3,1a
WC1A-002,144.0,1233.0,1a
WC1A-003,171.7,1232.7,1a
WC1A-004,199.3,1232.5,1a
WC1A-005,226.9,1232.2,1a
WC1A-006,254.5,1231.9,1a
WC1A-007,282.1,1231.6,1a
WC1A-008,114.8,1251.3,1a
WC1A-009,142.7,1250.8,1a
WC1A-010,170.6,1250.2,1a
WC1A-011,198.4,1249.7,1a
WC1A-012,226.3,1249.1,1a
WC1A-013,254.2,1248.6,1a
WC1A-014,282.1,1248.0,1a
WC1A-015,375.6,1231.6,1a
WC1A-016,398.2,1231.6,1a
WC1A-017,420.9,1231.6,1a
WC1A-018,443.6,1231.6,1a
WC1A-019,466.3,1231.6,1a
WC1A-020,489.0,1231.6,1a
WC1A-021,511.7,1231.6,1a
WC1A-022,373.9,1253.0,1a
WC1A-023,396.6,1252.7,1a
WC1A-024,419.3,1252.4,1a
WC1A-025,442.0,1252.1,1a
WC1A-026,464.7,1251.9,1a
WC1A-027,487.4,1251.6,1a
WC1A-028,510.0,1251.3,1a
WC1A-029,116.4,1323.5,1a
WC1A-030,143.8,1323.5,1a
WC1A-031,171.1,1323.5,1a
WC1A-032,198.4,1323.5,1a
WC1A-033,225.8,1323.5,1a
WC1A-034,253.1,1323.5,1a
WC1A-035,280.4,1323.5,1a
WC1A-036,119.7,1341.5,1a
WC1A-037,146.8,1341.2,1a
WC1A-038,173.8,1341.0,1a
WC1A-039,200.9,1340.7,1a
WC1A-040,228.0,1340.4,1a
WC1A-041,255.0,1340.2,1a
WC1A-042,282.1,1339.9,1a
WC1A-043,118.1,1417.0,1a
WC1A-044,145.7,1417.0,1a
WC1A-045,173.3,1417.0,1a
WC1A-046,200.9,1417.0,1a
WC1A-047,228.5,1417.0,1a
WC1A-048,256.1,1417.0,1a
WC1A-049,283.7,1417.0,1a
WC1A-050,116.4,1433.4,1a
WC1A-051,143.5,1433.6,1a
WC1A-052,170.6,1433.9,1a
WC1A-053,197.6,1434.2,1a
WC1A-054,224.7,1434.5,1a
WC1A-055,251.7,1434.7,1a
WC1A-056,278.8,1435.0,1a
WC1A-057,118.1,1518.6,1a
WC1A-058,145.4,1518.9,1a
WC1A-059,172.7,1519.2,1a
WC1A-060,200.1,1519.5,1a
WC1A-061,227.4,1519.7,1a
WC1A-062,254.7,1520.0,1a
WC1A-063,282.1,1520.3,1a
WC1A-064,118.1,1540.0,1a
WC1A-065,145.4,1539.7,1a
WC1A-066,172.7,1539.4,1a
WC1A-067,200.1,1539.1,1a
WC1A-068,227.4,1538.9,1a
WC1A-069,254.7,1538.6,1a
WC1A-070,282.1,1538.3,1a
WC1A-071,116.4,1612.1,1a
WC1A-072,144.3,1612.4,1a
WC1A-073,172.2,1612.7,1a
WC1A-074,200.1,1612.9,1a
WC1A-075,228.0,1613.2,1a
WC1A-076,255.8,1613.5,1a
WC1A-077,283.7,1613.8,1a
WC1A-078,118.1,1630.2,1a
WC1A-079,145.7,1630.4,1a
WC1A-080,173.3,1630.7,1a
WC1A-081,200.9,1631.0,1a
WC1A-082,228.5,1631.3,1a
WC1A-083,256.1,1631.5,1a
WC1A-084,283.7,1631.8,1a
WC1A-085,116.4,1702.3,1a
WC1A-086,144.6,1702.9,1a
WC1A-087,172.7,1703.4,1a
WC1A-088,200.9,1704.0,1a
WC1A-089,229.1,1704.5,1a
WC1A-090,257.2,1705.1,1a
WC1A-091,285.4,1705.6,1a
WC1A-092,118.1,1725.3,1a
WC1A-093,145.7,1725.0,1a
WC1A-094,173.3,1724.7,1a
WC1A-095,200.9,1724.5,1a
WC1A-096,228.5,1724.2,1a
WC1A-097,256.1,1723.9,1a
WC1A-098,283.7,1723.6,1a
WC1A-099,370.6,1417.0,1a
WC1A-100,398.5,1417.0,1a
WC1A-101,426.4,1417.0,1a
WC1A-102,454.3,1417.0,1a
WC1A-103,482.2,1417.0,1a
WC1A-104,510.0,1417.0,1a
WC1A-105,372.3,1438.3,1a
WC1A-106,400.2,1438.0,1a
WC1A-107,428.0,1437.6,1a
WC1A-108,455.9,1437.3,1a
WC1A-109,483.8,1437.0,1a
WC1A-110,511.7,1436.6,1a
WC1A-111,372.3,1610.5,1a
WC1A-112,400.5,1610.8,1a
WC1A-113,428.7,1611.1,1a
WC1A-114,456.9,1611.5,1a
WC1A-115,485.1,1611.8,1a
WC1A-116,513.3,1612.1,1a
WC1A-117,370.6,1515.4,1a
WC1A-118,399.3,1515.4,1a
WC1A-119,428.0,1515.4,1a
WC1A-120,372.3,1540.0,1a
WC1A-121,400.2,1538.3,1a
WC1A-122,428.0,1536.7,1a
WC1A-123,372.3,1702.3,1a
WC1A-124,399.3,1702.3,1a
WC1A-125,426.4,1702.3,1a
WC1A-126,370.6,1722.0,1a
WC1A-127,396.9,1723.6,1a
WC1A-128,423.1,1725.3,1a
WC1A-129,372.3,1323.5,1a
WC1A-130,399.3,1323.5,1a
WC1A-131,426.4,1323.5,1a
WC1A-132,372.3,1341.5,1a
WC1A-133,398.5,1342.3,1a
WC1A-134,424.8,1343.2,1a
WC1A-135,482.2,1321.8,1a
WC1A-136,511.7,1321.8,1a
WC1A-137,483.8,1341.5,1a
WC1A-138,511.7,1339.9,1a
WC1A-139,485.4,1520.3,1a
WC1A-140,511.7,1521.9,1a
WC1A-141,485.4,1540.0,1a
WC1A-142,511.7,1536.7,1a
WC1A-143,482.2,1705.6,1a
WC1A-144,513.3,1705.6,1a
WC1A-145,482.2,1723.6,1a
WC1A-146,511.7,1723.6,1a
WC1A-147,372.3,1630.2,1a
WC1A-148,400.2,1630.2,1a
WC1A-149,428.0,1630.2,1a
WC1A-150,455.9,1630.2,1a
WC1A-151,483.8,1630.2,1a
WC1A-152,511.7,1630.2,1a
WC1B-001,300.1,2348.5,1b
WC1B-002,300.1,2375.9,1b
WC1B-003,300.1,2403.4,1b
WC1B-004,300.1,2430.9,1b
WC1B-005,300.1,2458.4,1b
WC1B-006,318.2,2345.2,1b
WC1B-007,319.0,2373.1,1b
WC1B-008,319.8,2401.0,1b
WC1B-009,320.6,2428.8,1b
WC1B-010,321.4,2456.7,1b
WC1B-011,392.0,2346.8,1b
WC1B-012,391.5,2374.3,1b
WC1B-013,391.1,2401.8,1b
WC1B-014,390.7,2429.2,1b
WC1B-015,390.3,2456.7,1b
WC1B-016,410.0,2346.8,1b
WC1B-017,410.4,2374.7,1b
WC1B-018,410.8,2402.6,1b
WC1B-019,411.2,2430.5,1b
WC1B-020,411.6,2458.4,1b
WC1B-021,483.8,2346.8,1b
WC1B-022,484.2,2374.7,1b
WC1B-023,484.6,2402.6,1b
WC1B-024,485.0,2430.5,1b
WC1B-025,485.4,2458.4,1b
WC1B-026,501.8,2345.2,1b
WC1B-027,502.2,2373.5,1b
WC1B-028,502.7,2401.8,1b
WC1B-029,503.1,2430.1,1b
WC1B-030,503.5,2458.4,1b
WC1B-031,575.6,2348.5,1b
WC1B-032,575.6,2375.9,1b
WC1B-033,575.6,2403.4,1b
WC1B-034,575.6,2430.9,1b
WC1B-035,575.6,2458.4,1b
WC1B-036,593.7,2345.2,1b
WC1B-037,593.7,2373.1,1b
WC1B-038,593.7,2401.0,1b
WC1B-039,593.7,2428.8,1b
WC1B-040,593.7,2456.7,1b
WC1B-041,665.8,2346.8,1b
WC1B-042,665.4,2374.3,1b
WC1B-043,665.0,2401.8,1b
WC1B-044,664.6,2429.2,1b
WC1B-045,664.2,2456.7,1b
WC1B-046,682.2,2348.5,1b
WC1B-047,682.2,2375.1,1b
WC1B-048,682.2,2401.8,1b
WC1B-049,682.2,2428.4,1b
WC1B-050,682.2,2455.1,1b
WC1B-051,864.3,2374.7,1b
WC1B-052,857.3,2401.0,1b
WC1B-053,850.3,2427.2,1b
WC1B-054,843.4,2453.4,1b
WC1B-055,836.4,2479.7,1b
WC1B-056,882.3,2379.6,1b
WC1B-057,874.9,2405.9,1b
WC1B-058,867.6,2432.1,1b
WC1B-059,860.2,2458.4,1b
WC1B-060,852.8,2484.6,1b
WC1B-061,951.2,2397.7,1b
WC1B-062,944.2,2424.7,1b
WC1B-063,937.3,2451.8,1b
WC1B-064,930.3,2478.9,1b
WC1B-065,923.3,2505.9,1b
WC1B-066,969.2,2401.0,1b
WC1B-067,962.3,2428.4,1b
WC1B-068,955.3,2455.9,1b
WC1B-069,948.3,2483.4,1b
WC1B-070,941.4,2510.8,1b
WC1B-071,1041.4,2422.3,1b
WC1B-072,1034.0,2448.9,1b
WC1B-073,1026.6,2475.6,1b
WC1B-074,1019.3,2502.2,1b
WC1B-075,1011.9,2528.9,1b
WC1B-076,1059.4,2425.6,1b
WC1B-077,1052.1,2452.6,1b
WC1B-078,1044.7,2479.7,1b
WC1B-079,1037.3,2506.7,1b
WC1B-080,1029.9,2533.8,1b
WC1B-081,754.4,2346.8,1b
WC1B-082,754.9,2374.2,1b
WC1B-083,755.5,2401.5,1b
WC1B-084,756.0,2428.8,1b
WC1B-085,775.7,2345.2,1b
WC1B-086,775.7,2373.1,1b
WC1B-087,775.7,2401.0,1b
WC1B-088,775.7,2428.8,1b
WC1B-089,820.0,2184.5,1b
WC1B-090,812.3,2211.3,1b
WC1B-091,804.7,2238.1,1b
WC1B-092,797.0,2264.8,1b
WC1B-093,834.8,2187.8,1b
WC1B-094,828.2,2214.5,1b
WC1B-095,821.6,2241.3,1b
WC1B-096,815.1,2268.1,1b
WC1B-097,908.6,2205.8,1b
WC1B-098,901.5,2233.1,1b
WC1B-099,894.3,2260.5,1b
WC1B-100,887.2,2287.8,1b
WC1B-101,928.2,2212.4,1b
WC1B-102,920.0,2239.7,1b
WC1B-103,911.8,2267.0,1b
WC1B-104,903.6,2294.4,1b
WC1B-105,995.5,2233.7,1b
WC1B-106,988.4,2259.9,1b
WC1B-107,981.3,2286.2,1b
WC1B-108,974.2,2312.4,1b
WC1B-109,1013.5,2237.0,1b
WC1B-110,1007.5,2263.2,1b
WC1B-111,1001.5,2289.4,1b
WC1B-112,995.5,2315.7,1b
WC1B-113,1087.3,2255.0,1b
WC1B-114,1079.1,2282.3,1b
WC1B-115,1070.9,2309.7,1b
WC1B-116,1062.7,2337.0,1b
WC1B-117,1103.7,2258.3,1b
WC1B-118,1096.6,2285.6,1b
WC1B-119,1089.5,2312.9,1b
WC1B-120,1082.4,2340.3,1b
WC1B-121,301.8,2205.8,1b
WC1B-122,300.9,2232.0,1b
WC1B-123,300.1,2258.3,1b
WC1B-124,318.2,2202.5,1b
WC1B-125,318.2,2231.2,1b
WC1B-126,318.2,2259.9,1b
WC1B-127,392.0,2204.2,1b
WC1B-128,392.0,2232.0,1b
WC1B-129,392.0,2259.9,1b
WC1B-130,408.4,2204.2,1b
WC1B-131,409.2,2232.0,1b
WC1B-132,410.0,2259.9,1b
WC1B-133,485.4,2202.5,1b
WC1B-134,486.3,2230.4,1b
WC1B-135,487.1,2258.3,1b
WC1B-136,503.5,2202.5,1b
WC1B-137,503.5,2230.4,1b
WC1B-138,503.5,2258.3,1b
WC1B-139,575.6,2204.2,1b
WC1B-140,575.6,2230.4,1b
WC1B-141,575.6,2256.6,1b
WC1B-142,590.4,2204.2,1b
WC1B-143,592.0,2231.2,1b
WC1B-144,593.7,2258.3,1b
WC1B-145,664.2,2204.2,1b
WC1B-146,665.0,2230.4,1b
WC1B-147,665.8,2256.6,1b
WC1B-148,682.2,2204.2,1b
WC1B-149,682.2,2230.4,1b
WC1B-150,682.2,2256.6,1b
WC2A-001,1162.8,541.2,2a
WC2A-002,1192.3,540.4,2a
WC2A-003,1221.8,539.6,2a
WC2A-004,1289.0,293.6,2a
WC2A-005,1316.5,293.1,2a
WC2A-006,1344.0,292.7,2a
WC2A-007,1371.4,292.3,2a
WC2A-008,1398.9,291.9,2a
WC2A-009,1287.4,364.1,2a
WC2A-010,1314.9,363.7,2a
WC2A-011,1342.3,363.3,2a
WC2A-012,1369.8,362.9,2a
WC2A-013,1397.3,362.4,2a
WC2A-014,1287.4,382.1,2a
WC2A-015,1314.9,382.9,2a
WC2A-016,1342.3,383.8,2a
WC2A-017,1369.8,384.6,2a
WC2A-018,1397.3,385.4,2a
WC2A-019,1285.8,457.6,2a
WC2A-020,1314.5,458.0,2a
WC2A-021,1343.2,458.4,2a
WC2A-022,1371.9,458.8,2a
WC2A-023,1400.6,459.2,2a
WC2A-024,1287.4,475.6,2a
WC2A-025,1315.7,475.6,2a
WC2A-026,1344.0,475.6,2a
WC2A-027,1372.3,475.6,2a
WC2A-028,1400.6,475.6,2a
WC2A-029,1289.0,547.8,2a
WC2A-030,1316.5,547.8,2a
WC2A-031,1344.0,547.8,2a
WC2A-032,1371.4,547.8,2a
WC2A-033,1398.9,547.8,2a
WC2A-034,1287.4,569.1,2a
WC2A-035,1315.3,569.1,2a
WC2A-036,1343.2,569.1,2a
WC2A-037,1371.0,569.1,2a
WC2A-038,1398.9,569.1,2a
WC2A-039,1105.4,738.0,2a
WC2A-040,1133.2,737.5,2a
WC2A-041,1161.1,736.9,2a
WC2A-042,1189.0,736.4,2a
WC2A-043,1105.4,757.7,2a
WC2A-044,1132.7,757.7,2a
WC2A-045,1160.0,757.7,2a
WC2A-046,1187.4,757.7,2a
WC2A-047,1261.2,646.2,2a
WC2A-048,1288.7,645.5,2a
WC2A-049,1316.3,644.8,2a
WC2A-050,1343.8,644.2,2a
WC2A-051,1371.4,643.5,2a
WC2A-052,1398.9,642.9,2a
WC2A-053,1259.5,664.2,2a
WC2A-054,1287.1,664.2,2a
WC2A-055,1314.6,664.2,2a
WC2A-056,1342.2,664.2,2a
