pc_id,x_px,y_px
Lab_202_PC001,173,197
Lab_202_PC002,172,212
Lab_202_PC003,172,221
Lab_202_PC004,183,198
Lab_202_PC005,182,211
Lab_202_PC006,181,221
Lab_202_PC007,214,200
Lab_202_PC008,214,211
Lab_202_PC009,215,222
Lab_202_PC010,215,232
Lab_202_PC011,225,199
Lab_202_PC012,225,213
Lab_202_PC013,226,221
Lab_202_PC014,226,231
Lab_202_PC015,256,199
Lab_202_PC016,256,211
Lab_202_PC017,258,222
Lab_202_PC018,257,232
Lab_202_PC019,258,241
Lab_202_PC020,266,198
Lab_202_PC021,267,212
Lab_202_PC022,267,222
Lab_202_PC023,267,232
Lab_202_PC024,268,241
Lab_202_PC025,300,198
Lab_202_PC026,299,212
Lab_202_PC027,299,220
Lab_202_PC028,299,232
Lab_202_PC029,300,241
Lab_202_PC030,377,340
Lab_206_PC031,392,199
Lab_206_PC032,391,212
Lab_206_PC033,391,221
Lab_206_PC034,392,231
Lab_206_PC035,390,241
Lab_206_PC036,401,198
Lab_206_PC037,402,209
Lab_206_PC038,401,221
Lab_206_PC039,401,231
Lab_206_PC040,401,241
Lab_206_PC041,437,200
Lab_206_PC042,436,211
Lab_206_PC043,436,221
Lab_206_PC044,436,232
Lab_206_PC045,436,241
Lab_206_PC046,445,200
Lab_206_PC047,445,210
Lab_206_PC048,445,221
Lab_206_PC049,445,232
Lab_206_PC050,445,241
Lab_206_PC051,479,200
Lab_206_PC052,479,212
Lab_206_PC053,479,221
Lab_206_PC054,479,231
Lab_206_PC055,479,242
Lab_206_PC056,490,200
Lab_206_PC057,491,212
Lab_206_PC058,491,221
Lab_206_PC059,490,231
Lab_206_PC060,490,242
Lab_210_PC061,615,200
Lab_210_PC062,615,217
Lab_210_PC063,625,201
Lab_210_PC064,625,216
Lab_210_PC065,659,215
Lab_210_PC066,658,230
Lab_210_PC067,658,245
Lab_210_PC068,656,261
Lab_210_PC069,640,263
Lab_210_PC070,625,262
Lab_210_PC071,610,268
Lab_210_PC072,625,272
Lab_210_PC073,640,273
Lab_210_PC074,657,273
Lab_210_PC075,658,319
Lab_210_PC076,657,333
Lab_210_PC077,621,304
Lab_210_PC078,614,318
Lab_210_PC079,614,336
Lab_210_PC080,625,318
Lab_210_PC081,625,335
Lab_219_PC082,410,546
Lab_219_PC083,419,544
Lab_219_PC084,430,543
Lab_219_PC085,439,541
Lab_219_PC086,449,538
Lab_219_PC087,458,535
Lab_219_PC088,467,533
Lab_219_PC089,476,528
Lab_219_PC090,486,523
Lab_219_PC091,410,523
Lab_219_PC092,420,522
Lab_219_PC093,430,521
Lab_219_PC094,440,517
Lab_219_PC095,450,515
Lab_219_PC096,459,510
Lab_219_PC097,468,508
Lab_219_PC098,478,503
Lab_219_PC099,487,498
Lab_219_PC100,496,492
Lab_219_PC101,410,498
Lab_219_PC102,420,496
Lab_219_PC103,430,494
Lab_219_PC104,441,491
Lab_219_PC105,451,487
Lab_219_PC106,460,483
Lab_219_PC107,470,478
Lab_219_PC108,479,473
Lab_219_PC109,487,466
Lab_219_PC110,496,459
Lab_219_PC111,410,471
Lab_219_PC112,420,470
Lab_219_PC113,430,466
Lab_219_PC114,440,463
Lab_219_PC115,449,459
Lab_219_PC116,458,456
Lab_219_PC117,466,450
Lab_219_PC118,474,445
Lab_219_PC119,482,438
Lab_219_PC120,489,430
Lab_219_PC121,498,420
Lab_219_PC122,410,446
Lab_219_PC123,420,443
Lab_219_PC124,430,439
Lab_219_PC125,440,436
Lab_219_PC126,461,423
Lab_219_PC127,468,416
Lab_219_PC128,474,409
Lab_219_PC129,479,402
Lab_219_PC130,485,392
Lab_219_PC131,489,384
Lab_219_PC132,492,375
Lab_219_PC133,494,365
Lab_219_PC134,410,420
Lab_219_PC135,419,416
Lab_219_PC136,430,413
Lab_219_PC137,439,408
Lab_219_PC138,446,399
Lab_219_PC139,454,394
Lab_219_PC140,460,383
Lab_219_PC141,465,374
Lab_219_PC142,468,364
Lab_219_PC143,495,325
Lab_219_PC144,491,313
Lab_219_PC145,488,304
Lab_219_PC146,484,293
Lab_219_PC147,477,283
Lab_219_PC148,468,322
Lab_219_PC149,464,312
Lab_219_PC150,457,301
Lab_219_PC151,450,293
Lab_219_PC152,441,284
Lab_219_PC153,410,392
Lab_219_PC154,421,388
Lab_219_PC155,429,383
Lab_219_PC156,436,375
Lab_219_PC157,441,365
Lab_219_PC158,440,321
Lab_219_PC159,433,311
Lab_219_PC160,425,304
Lab_219_PC161,416,297
Lab_219_PC162,402,294
Lab_219_PC163,392,292
Lab_219_PC164,380,294
Lab_219_PC165,369,299
Lab_219_PC166,360,306
Lab_219_PC167,352,316
Lab_219_PC168,346,326
Lab_219_PC169,343,336
Lab_219_PC170,342,347
Lab_219_PC171,345,359
Lab_219_PC172,351,371
Lab_219_PC173,405,357
Lab_219_PC174,411,348
Lab_219_PC175,410,339
Lab_219_PC176,406,331
Lab_219_PC177,398,329
Lab_219_PC178,390,328
Lab_219_PC179,381,330
